naive,ar,arma,arima,ets,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,esn
-16.2745098039,-10.6862745098,-5.88235294118,-7.74509803922,-11.862745098,-10.4901960784,-16.2745098039,-15.0,-16.2745098039,-10.5882352941,-8.62745098039,-14.3137254902,-7.25490196078,-19.6078431373,0.0980392156863,-4.3137254902,11.6666666667,-15.5882352941,-15.0980392157
50.8875739645,55.7692307692,52.6627218935,44.3786982249,48.6686390533,50.4437869822,50.8875739645,50.8875739645,50.8875739645,54.5857988166,53.2544378698,41.124260355,52.2189349112,44.9704142012,49.8520710059,92.1597633136,80.9171597633,69.2307692308,40.8284023669
25.8845437616,41.3407821229,47.6722532588,18.6219739292,33.3333333333,33.3333333333,25.8845437616,25.8845437616,25.8845437616,43.3891992551,46.1824953445,33.8919925512,48.417132216,2.79329608939,29.7951582868,36.312849162,31.6573556797,41.5270018622,28.3054003724
2.09125475285,21.2927756654,23.5741444867,11.216730038,6.27376425856,12.927756654,2.09125475285,2.09125475285,2.09125475285,25.2851711027,26.0456273764,9.31558935361,26.4258555133,-7.79467680608,-2.66159695817,30.7984790875,-1.52091254753,-6.463878327,5.13307984791
-5.56552962298,12.9263913824,10.9515260323,-8.25852782765,-4.8473967684,1.07719928187,-5.56552962298,-5.56552962298,-5.56552962298,16.5170556553,15.7989228007,2.87253141831,12.7468581688,-11.3105924596,3.41113105925,5.56552962298,-11.4901256732,-6.10412926391,-4.30879712747
-7.16666666667,9.5,5.83333333333,-13.6666666667,-5.33333333333,-2.16666666667,-7.16666666667,-7.16666666667,-7.16666666667,12.3333333333,11.0,1.66666666667,4.0,-17.0,-10.8333333333,-7.16666666667,-21.8333333333,-23.5,-5.33333333333
23.2032854209,42.5051334702,37.3716632444,16.8377823409,21.7659137577,28.3367556468,23.2032854209,23.2032854209,23.2032854209,45.5852156057,43.5318275154,35.9342915811,30.1848049281,11.2936344969,31.6221765914,36.1396303901,-1.02669404517,-2.87474332649,24.8459958932
3.6170212766,27.0212765957,26.170212766,17.0212765957,6.8085106383,16.170212766,3.6170212766,3.6170212766,3.6170212766,31.4893617021,31.2765957447,24.6808510638,17.6595744681,4.25531914894,-4.46808510638,0.425531914894,6.17021276596,4.68085106383,14.2553191489
-61.8506493506,-52.8409090909,-53.9772727273,-63.3928571429,-61.525974026,-58.6850649351,-61.8506493506,-61.8506493506,-61.8506493506,-50.974025974,-51.461038961,-54.4642857143,-56.737012987,-59.9837662338,-59.0097402597,-62.4188311688,-65.9090909091,-61.6883116883,-58.6850649351
122.784810127,122.965641953,103.074141049,92.9475587703,103.797468354,109.04159132,122.784810127,122.784810127,122.784810127,119.529837251,110.849909584,106.871609403,80.8318264014,111.934900542,137.251356239,108.860759494,110.849909584,109.222423146,98.9150090416
-18.3161004431,-4.13589364845,5.76070901034,5.16986706056,-8.2717872969,-3.988183161,-18.3161004431,-18.3161004431,-18.3161004431,-0.886262924668,3.69276218612,5.16986706056,-6.05612998523,-26.4401772526,-20.9748892171,-4.13589364845,14.3279172821,-15.3618906942,-3.24963072378
-16.8304668305,-7.12530712531,-9.45945945946,-15.3562653563,-15.4791154791,-12.8992628993,-16.8304668305,-16.8304668305,-16.8304668305,-5.28255528256,-6.38820638821,-12.8992628993,-15.3562653563,-32.1867321867,-14.3734643735,-11.9164619165,-37.2235872236,-30.7125307125,-15.601965602
32.5732899023,42.345276873,37.1335504886,17.2638436482,32.8990228013,32.4104234528,32.5732899023,32.5732899023,32.5732899023,43.32247557,41.2052117264,32.2475570033,27.8501628664,33.5504885993,86.8078175896,51.6286644951,26.0586319218,19.0553745928,31.4332247557
-43.4622467772,-35.4511970534,-34.2541436464,-39.9631675875,-41.5285451197,-38.9502762431,-43.4622467772,-43.4622467772,-43.4622467772,-33.7016574586,-33.1491712707,-38.02946593,-39.3186003683,-52.1178637201,-36.4640883978,-40.2394106814,-41.8047882136,-49.2633517495,-40.6077348066
9.14572864322,11.3567839196,4.42211055276,5.1256281407,4.02010050251,6.83417085427,9.14572864322,9.14572864322,9.14572864322,10.351758794,7.33668341709,-1.20603015075,-2.61306532663,8.6432160804,18.4924623116,12.2613065327,20.4020100503,10.351758794,1.80904522613
11.0491071429,14.84375,14.7321428571,5.91517857143,11.6071428571,11.6071428571,11.0491071429,11.3839285714,11.0491071429,14.3973214286,14.3973214286,8.92857142857,5.69196428571,31.0267857143,28.6830357143,44.9776785714,36.4955357143,18.75,8.70535714286
-20.7780725022,-16.534040672,-15.7382847038,-18.0371352785,-19.7170645447,-18.1255526083,-20.7780725022,-20.3359858532,-20.7780725022,-16.3572060124,-16.0035366932,-22.0159151194,-21.308576481,-23.9610963749,-5.74712643678,-13.7046861185,7.16180371353,-23.8726790451,-21.8390804598
28.231292517,29.8185941043,26.1904761905,26.6439909297,25.283446712,27.2108843537,28.231292517,27.7777777778,28.231292517,28.5714285714,26.8707482993,17.6870748299,18.4807256236,35.8276643991,30.4988662132,40.1360544218,52.947845805,-5.55555555556,20.6349206349
-19.0825688073,-14.7706422018,-12.3853211009,-18.3486238532,-16.6972477064,-16.2385321101,-19.0825688073,-18.4403669725,-19.0825688073,-14.128440367,-13.2110091743,-19.3577981651,-16.6055045872,-21.1009174312,-1.65137614679,-10.4587155963,-13.7614678899,-21.0091743119,-19.5412844037
2.63653483992,4.23728813559,1.78907721281,0.659133709981,0.659133709981,1.97740112994,2.63653483992,2.35404896422,2.63653483992,3.76647834275,2.54237288136,-5.55555555556,-1.60075329567,-3.0131826742,11.0169491525,11.6760828625,9.79284369115,3.76647834275,-4.14312617702
18.2628062361,20.6013363029,20.3786191537,16.4810690423,18.3741648107,18.8195991091,18.2628062361,18.4855233853,18.2628062361,20.2672605791,20.1559020045,12.3608017817,15.70155902,20.3786191537,46.7706013363,32.0712694878,33.4075723831,22.7171492205,13.2516703786
-24.8535564854,-21.2552301255,-19.5815899582,-21.4225941423,-23.2635983264,-22.0920502092,-24.8535564854,-24.1841004184,-24.8535564854,-20.5857740586,-19.9163179916,-25.1046025105,-21.3389121339,-21.0041841004,5.10460251046,-18.3263598326,-4.68619246862,-27.949790795,-26.5271966527
39.7660818713,38.8304093567,33.8011695906,29.1228070175,35.4385964912,35.4385964912,39.7660818713,38.7134502924,39.7660818713,38.7134502924,36.6081871345,28.1871345029,32.1637426901,27.485380117,47.485380117,44.3274853801,36.1403508772,34.269005848,27.6023391813
38.3495145631,45.3074433657,51.7799352751,53.5598705502,44.9838187702,46.7637540453,38.3495145631,40.4530744337,38.3495145631,48.0582524272,50.6472491909,41.9093851133,49.8381877023,10.0323624595,97.572815534,75.0809061489,84.3042071197,39.3203883495,40.2912621359
-26.5160523187,-17.3602853746,-13.3174791914,-16.2901307967,-22.1165279429,-19.1438763377,-26.5160523187,-24.6135552913,-26.5160523187,-13.6741973841,-12.3662306778,-21.8787158145,-12.2473246136,-38.1688466112,-11.1771700357,-14.744351962,-7.96670630202,-42.2116527943,-23.9001189061
0.238379022646,5.60190703218,1.19189511323,-11.084624553,-2.74135876043,-1.31108462455,0.238379022646,-0.953516090584,0.238379022646,7.86650774732,5.84028605483,-4.05244338498,2.62216924911,-2.26460071514,36.7103694875,2.97973778308,-27.0560190703,-12.8724672229,-7.03218116806
20.2005730659,26.7908309456,24.6418338109,18.4813753582,19.770773639,21.9197707736,20.2005730659,20.4871060172,20.2005730659,29.3696275072,28.5100286533,21.6332378223,22.6361031519,17.4785100287,64.3266475645,39.6848137536,18.4813753582,17.1919770774,16.1891117479
39.879759519,53.3066132265,54.9098196393,57.7154308617,43.6873747495,49.8997995992,39.879759519,45.0901803607,39.879759519,58.3166332665,58.9178356713,49.6993987976,52.3046092184,45.8917835671,77.9559118236,25.6513026052,56.1122244489,52.3046092184,42.6853707415
-39.3681652491,-27.8250303767,-25.5164034022,-35.7229647631,-35.8444714459,-32.8068043742,-39.3681652491,-37.6670716889,-39.3681652491,-23.3292831106,-22.6002430134,-30.1336573512,-26.0024301337,-46.1725394897,-39.489671932,-39.9756986634,-45.9295261239,-41.4337788578,-35.1154313487
