naive,ar,arma,arima,ets,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,esn
361.397058824,27.5735294118,52.2058823529,34.5588235294,34.5588235294,102.205882353,34.5588235294,343.014705882,361.397058824,19.4852941176,16.1764705882,23.8970588235,71.3235294118,21.6911764706,5.51470588235,5.51470588235,9.19117647059,-6.98529411765,-2.57352941176
6.25,43.75,62.5,42.96875,42.96875,39.84375,42.96875,8.203125,6.25,33.203125,28.90625,31.640625,37.5,19.140625,12.109375,12.109375,16.015625,-1.171875,1.953125
-4.4776119403,37.3134328358,56.3432835821,36.5671641791,36.5671641791,32.4626865672,36.5671641791,-2.23880597015,-4.4776119403,27.2388059701,23.8805970149,26.1194029851,27.9850746269,9.70149253731,7.08955223881,7.08955223881,10.8208955224,-5.59701492537,-2.61194029851
2.68199233716,40.9961685824,61.3026819923,40.2298850575,40.2298850575,37.1647509579,40.2298850575,4.98084291188,2.68199233716,30.6513409962,27.5862068966,30.6513409962,29.8850574713,10.3448275862,9.96168582375,9.96168582375,13.7931034483,-3.06513409962,0.0
-2.61194029851,37.3134328358,57.8358208955,36.5671641791,36.5671641791,33.2089552239,36.5671641791,-0.373134328358,-2.61194029851,27.2388059701,24.2537313433,26.4925373134,25.3731343284,10.0746268657,7.08955223881,7.08955223881,10.8208955224,-5.59701492537,-2.61194029851
1.1320754717,38.8679245283,60.7547169811,38.1132075472,38.1132075472,35.4716981132,38.1132075472,3.39622641509,1.1320754717,28.679245283,25.6603773585,27.5471698113,28.679245283,8.67924528302,8.30188679245,8.30188679245,12.0754716981,-4.52830188679,-1.50943396226
23.2558139535,71.1627906977,99.0697674419,70.2325581395,70.2325581395,66.976744186,70.2325581395,26.0465116279,23.2558139535,58.6046511628,54.8837209302,57.2093023256,54.8837209302,29.3023255814,33.488372093,33.488372093,38.1395348837,17.6744186047,21.3953488372
-22.1014492754,33.6956521739,56.5217391304,32.6086956522,32.6086956522,26.8115942029,32.6086956522,-18.8405797101,-22.1014492754,23.5507246377,21.0144927536,22.1014492754,21.0144927536,-1.08695652174,3.98550724638,3.98550724638,7.60869565217,-8.33333333333,-5.4347826087
3.37078651685,37.8277153558,62.1722846442,37.0786516854,36.7041198502,35.5805243446,37.0786516854,5.24344569288,3.37078651685,27.34082397,24.7191011236,26.5917602996,24.7191011236,12.734082397,7.49063670412,7.49063670412,11.2359550562,-5.24344569288,-2.24719101124
-0.743494423792,36.8029739777,61.7100371747,36.0594795539,25.6505576208,31.970260223,36.0594795539,1.11524163569,-0.743494423792,26.3940520446,23.7918215613,25.2788104089,23.7918215613,7.06319702602,6.69144981413,6.69144981413,10.4089219331,15.6133828996,-2.97397769517
0.749063670412,37.8277153558,64.0449438202,37.0786516854,37.0786516854,35.2059925094,37.0786516854,2.62172284644,0.749063670412,27.34082397,24.7191011236,26.2172284644,26.5917602996,8.98876404494,7.49063670412,7.49063670412,11.2359550562,-5.24344569288,-2.62172284644
-1.11111111111,36.2962962963,62.5925925926,35.5555555556,35.1851851852,33.7037037037,35.5555555556,1.11111111111,-1.11111111111,25.5555555556,23.3333333333,24.8148148148,24.8148148148,6.66666666667,6.2962962963,6.2962962963,10.0,-6.2962962963,-3.7037037037
